External code,Vendor,Centre,Dataset,Dice_BG,Dice_LV,Dice_MYO,Dice_RV,IoU_BG,IoU_LV,IoU_MYO,IoU_RV,HD_BG,HD_LV,HD_MYO,HD_RV
E1L7M3,D,5,Test,0.9752026796340942,0.8894269466400146,0.7933593988418579,0.7615300416946411,0.9516053795814514,0.8008720874786377,0.6574944257736206,0.6148958802223206,4.0,7.0,14.352700094407323,12.806248474865697
E1L8Y4,B,3,Valid,0.9895896315574646,0.9382492303848267,0.8261509537696838,0.9657227993011475,0.979393720626831,0.8836812376976013,0.7037965655326843,0.9337176084518433,3.0,3.1622776601683795,5.0,3.0
E3F2U7,C,4,Valid,0.9775855541229248,0.8294470906257629,0.8200427293777466,0.895973265171051,0.956153929233551,0.7085942625999451,0.6949766278266907,0.8115503191947937,10.862780491200215,9.055385138137417,9.055385138137417,12.165525060596439
E3F5U2,C,4,,,,,,,,,,,,,
E3I4V1,C,4,,,,,,,,,,,,,
E3L8U8,B,3,Test,0.9732166528701782,0.8989973664283752,0.8211606740951538,0.7748314142227173,0.9478306174278259,0.8165260553359985,0.6965840458869934,0.6324284076690674,5.0,6.164414002968976,9.0,13.674794331177344
E3T0Z2,B,2,Train,0.9927000999450684,0.9419597387313843,0.9123997092247009,0.9486414790153503,0.9855059385299683,0.8902872204780579,0.8389108777046204,0.9023005962371826,3.0,4.0,4.47213595499958,9.0
E4H7L4,D,5,Test,0.9802156090736389,0.8974382281303406,0.8433178067207336,0.9226086139678955,0.9611989259719849,0.8139573335647583,0.7290833592414856,0.8563356399536133,5.0,5.0,6.0,45.32107677449864
E4I9O7,B,3,Test,0.9766970276832581,0.8763834238052368,0.7546936869621277,0.6618008613586426,0.9544554352760315,0.7799666523933411,0.6060305237770081,0.49454590678215027,10.099504938362077,5.0,9.219544457292887,38.71692136521188
E4M2Q7,B,3,Train,0.9836903214454651,0.9659257531166077,0.8353798389434814,0.8821710348129272,0.9679041504859924,0.9340971112251282,0.7172980904579163,0.7891825437545776,8.0,3.0,4.123105625617661,6.782329983125268
E4O8P3,B,2,Valid,0.9848734140396118,0.9605289101600647,0.8422029614448547,0.8952975273132324,0.9701976180076599,0.9240554571151733,0.7274184823036194,0.8104422092437744,9.0,7.0,4.47213595499958,13.152946437965905
E4W8Z7,B,2,Train,0.9917705655097961,0.9643458724021912,0.9113544821739197,0.944656491279602,0.983675479888916,0.9311466813087463,0.8371453285217285,0.8951175212860107,3.3166247903554,3.0,4.123105625617661,4.0
E5E6O8,B,2,Train,0.991681694984436,0.9501895308494568,0.8968566656112671,0.9418880939483643,0.9835006594657898,0.9051058292388916,0.8130009770393372,0.8901591897010803,4.0,3.7416573867739413,4.123105625617661,6.4031242374328485
E5F5V7,B,3,Train,0.990827202796936,0.9485874176025391,0.8673580884933472,0.9628821611404419,0.9818211197853088,0.9022027850151062,0.7657831311225891,0.9284211993217468,4.123105625617661,3.1622776601683795,5.0,4.0
E5J6L2,D,5,Test,0.9928095936775208,0.9321346282958984,0.8399338722229004,0.9320635795593262,0.9857218861579895,0.8728953003883362,0.724039614200592,0.8727706074714661,3.0,5.0,8.06225774829855,5.385164807134504
E5S7W7,B,2,Test,0.986742377281189,0.9300000071525574,0.792564868927002,0.9307572841644287,0.9738317131996155,0.8691588640213013,0.656403660774231,0.8704826235771179,3.605551275463989,8.12403840463596,4.123105625617661,27.313000567495326
E6H0V9,D,5,Test,0.9866868853569031,0.927828311920166,0.8157747983932495,0.9026496410369873,0.9737235903739929,0.865372896194458,0.68886798620224,0.8225719332695007,3.605551275463989,3.605551275463989,6.0,10.344080432788601
E6J4N8,B,2,Test,0.9861040115356445,0.8921357989311218,0.8197035193443298,0.9334436655044556,0.9725889563560486,0.8052754402160645,0.6944894790649414,0.8751939535140991,4.0,7.280109889280518,22.759613353482084,5.0
E6M6P2,C,4,Test,0.990138828754425,0.9143239259719849,0.8276443481445312,0.9345735311508179,0.9804702401161194,0.8421700596809387,0.7059669494628906,0.8771826028823853,4.123105625617661,4.0,6.082762530298219,6.708203932499369
E7L0N6,C,4,Test,0.9876899123191833,0.8884933590888977,0.7768931984901428,0.8894981741905212,0.9756792187690735,0.7993594408035278,0.6351801753044128,0.8009876012802124,3.0,4.47213595499958,5.385164807134504,6.4031242374328485
E9H1U4,A,1,Train,0.9931976795196533,0.9659108519554138,0.8975694179534912,0.9350430965423584,0.9864872694015503,0.9340692162513733,0.81417316198349,0.8780102729797363,4.47213595499958,2.8284271247461903,3.1622776601683795,3.1622776601683795
E9H2K7,B,2,Train,0.9926402568817139,0.9516578912734985,0.8937463164329529,0.9303542375564575,0.9853879809379578,0.9077741503715515,0.8079035878181458,0.8697779178619385,7.0,3.1622776601683795,4.47213595499958,6.164414002968976
E9L1W5,B,3,Train,0.9942747950553894,0.9584717154502869,0.9048416614532471,0.9578415751457214,0.9886147975921631,0.9202551245689392,0.826219916343689,0.9190940260887146,4.0,3.0,3.1622776601683795,11.090536506409418
E9L4N2,C,4,,,,,,,,,,,,,
E9V4Z8,A,1,Train,0.9924705028533936,0.9614447951316833,0.8796765804290771,0.9425551891326904,0.985053539276123,0.9257521629333496,0.7851988077163696,0.8913516998291016,3.0,2.23606797749979,3.0,4.242640687119285
E9V9Z2,C,4,Test,0.9843985438346863,0.9134318232536316,0.8273370862007141,0.8971808552742004,0.9692763686180115,0.840657651424408,0.7055199146270752,0.8135339617729187,3.0,6.324555320336759,4.58257569495584,9.486832980505138
F0I6U8,C,4,Test,0.9705944657325745,0.6451784372329712,0.5836290121078491,0.8149663805961609,0.9428688883781433,0.4762091338634491,0.4120594263076782,0.6877158284187317,9.433981132056603,72.84229540589725,63.51377803280167,29.68164415931166
F0J2R8,B,2,Train,0.9935613870620728,0.8964496850967407,0.8881064057350159,0.9040818810462952,0.9872051477432251,0.8123324513435364,0.7987332940101624,0.8249538540840149,3.0,5.477225575051661,4.123105625617661,8.54400374531753
F0K4T6,A,1,Test,0.9903343319892883,0.9528886675834656,0.8418152332305908,0.9410651922225952,0.9808536767959595,0.9100165367126465,0.7268401980400085,0.8886903524398804,4.0,3.605551275463989,6.164414002968976,4.123105625617661
F1F3I6,B,2,Train,0.9915080070495605,0.9255841970443726,0.8977391719818115,0.9246084690093994,0.983159065246582,0.8614766597747803,0.8144525289535522,0.8597877621650696,4.0,4.0,4.123105625617661,5.0
F1K2S9,C,4,Test,0.990913987159729,0.8852967619895935,0.795688271522522,0.8899788856506348,0.9819916486740112,0.794199526309967,0.6606996059417725,0.8017675280570984,3.3166247903554,5.477225575051661,35.510561809129406,28.39013913315678
F2H5S1,A,1,Train,0.9938881397247314,0.9666337966918945,0.9157803654670715,0.950342059135437,0.987850546836853,0.9354223012924194,0.8446446657180786,0.9053826928138733,4.0,2.0,3.605551275463989,3.605551275463989
F3G5K5,A,1,Train,0.9929438829421997,0.9780331254005432,0.9196441173553467,0.9162240028381348,0.9859866499900818,0.9570106267929077,0.8512417674064636,0.8453997373580933,4.242640687119285,2.23606797749979,3.7416573867739413,6.324555320336759
F3L0M1,C,4,,,,,,,,,,,,,
F4K3S1,B,3,Train,0.992807924747467,0.968654215335846,0.9015741944313049,0.9598522782325745,0.9857186079025269,0.9392138719558716,0.8207874894142151,0.9228038191795349,5.0,2.8284271247461903,3.1622776601683795,18.49324200890693
F5I1Z8,C,4,Test,0.9858704209327698,0.9185127019882202,0.8272179365158081,0.8995379209518433,0.9721345901489258,0.8493051528930664,0.7053466439247131,0.8174183964729309,4.242640687119285,5.0,5.0,5.0
F5I9Q2,B,2,Train,0.9923235774040222,0.9683935046195984,0.8995056748390198,0.9501891136169434,0.9847641587257385,0.9387237429618835,0.8173651099205017,0.9051049947738647,4.0,4.47213595499958,3.1622776601683795,3.605551275463989
F6J9L9,D,5,Valid,0.9812254905700684,0.9282434582710266,0.8406066298484802,0.8564950227737427,0.9631429314613342,0.8660954833030701,0.725040078163147,0.7490085363388062,4.358898943540674,24.859605789312106,30.083217912982647,15.264337522473747
F8N2S1,B,3,Train,0.9931536316871643,0.9698008894920349,0.9091671109199524,0.9606643915176392,0.9864004254341125,0.9413723349571228,0.833461344242096,0.9243062734603882,5.0,2.23606797749979,31.192947920964443,4.123105625617661
F9M1R2,D,5,Test,0.9839627146720886,0.9161099791526794,0.8062384724617004,0.8768119812011719,0.9684316515922546,0.8452056646347046,0.6753764748573303,0.7806457877159119,4.47213595499958,42.07136793592526,41.23105625617661,7.681145747868608
G0H4J3,B,2,Train,0.9913627505302429,0.9610283374786377,0.9136117100715637,0.959581196308136,0.9828733801841736,0.9249802827835083,0.8409624099731445,0.9223028421401978,4.242640687119285,3.605551275463989,4.47213595499958,4.123105625617661
G0I6P3,B,3,Train,0.9930583834648132,0.957839846611023,0.9001531004905701,0.9403471946716309,0.9862124919891357,0.9190908074378967,0.8184348940849304,0.8874107003211975,5.0,4.0,3.0,3.0
G0I7Z6,C,4,,,,,,,,,,,,,
G1J5K3,D,5,Test,0.9793158173561096,0.8756770491600037,0.8214009404182434,0.8675357699394226,0.9594699740409851,0.7788482904434204,0.696929931640625,0.7660601735115051,4.0,5.385164807134504,6.708203932499369,14.89966442575134
